구분,시도,시군구,기관명,주소,전화번호,"신청유형(A: 외래진료, B: 외래진료 및 입원)",위도,경도
HOSPITAL,경기,평택시,박애병원,경기도 평택시 평택2로20번길3,031-652-2121,B,36.9930038,127.08906549999999
HOSPITAL,경기,평택시,평택굿모닝병원,경기도 평택시 중앙로338,031-659-7700,B,36.9906469,127.1205614
HOSPITAL,경기,평택시,평택성모병원,경기도 평택시 평택로284,031-1800-8800,B,36.99944130000001,127.07955229999999
HOSPITAL,경기,평택시,박병원,경기도 평택시 송탄로 33,031-666-2600,B,37.0482193,127.05700110000001
HOSPITAL,경기,포천시,포천우리병원,경기도 포천시  소홀읍 호국로 661,031-542-0222,A,37.8273748,127.14795699999999
HOSPITAL,경기,하남시,하남SD병원,경기도 하남시 덕풍공원로 41,031-793-2882,A,37.5396283,127.1982811
HOSPITAL,경기,화성시,화성중앙종합병원,경기도 화성시 향남읍 발안로5,031-352-8114,B,37.1313154,126.9107719
HOSPITAL,경기,화성시,한림대학교 동탄성심병원,경기도 화성시 큰재봉길7,031-8086-3000,B,37.2166637,127.08012090000001
HOSPITAL,경기,화성시,원광종합병원,경기도 화성시 화산북로21,031-8077-7200,A,37.206496,127.01003209999999
HOSPITAL,경기,화성시,화성디에스병원,경기도 화성시 남양읍 시청로 160번길 46-13,1600-5982,B,37.1964083,126.83264189999998
HOSPITAL,강원,강릉시,강릉고려병원,강원도 강릉시 옥가로 30,033-649-0100,A,37.7590037,128.89986
HOSPITAL,강원,강릉시,강릉아산병원,강원도 강릉시 사천면 방동길 38,033-610-3114,B,37.8182428,128.85927189999998
HOSPITAL,강원,동해시,근로복지공단 동해병원,강원도 동해시 하평로 11,033-530-3100,A,37.5313691,129.1077852
HOSPITAL,강원,속초시,속초보광병원,강원도 속초시 중앙로 11,033-639-8500,A,38.1979798,128.5783566
HOSPITAL,강원,원주시,성지병원,강원도 원주시 원인로 22,033-760-3114,A,37.345524399999995,127.95423350000002
HOSPITAL,강원,춘천시,한림대학교춘천성심병원,강원도 춘천시 삭주로77,033-240-5000,A,37.8839706,127.7398959
HOSPITAL,강원,춘천시,강원대학교병원,강원도 춘천시 백령로156,033-258-2000,B,37.8753509,127.7450198
HOSPITAL,강원,홍천군,홍천아산병원,강원도 홍천군 홍천읍 산림공원1길 17,033-430-5151,A,37.6906658,127.8946511
HOSPITAL,충북,제천시,제천서울병원,충청북도 제천시 숭문로57,043-642-7606,A,37.1386904,128.2062186
HOSPITAL,충북,제천시,제천명지병원,충청북도 제천시 내토로 991,043-640-8114,A,37.1633515,128.2339864
HOSPITAL,충북,진천군,진천성모병원,충청북도 진천군 진천읍 중앙북로24,043-533-1711,A,36.8587463,127.4396491
HOSPITAL,충북,청주시 상당구,한국병원,충청북도 청주시 상당구 단재로106,043-222-7000,A,36.6196583,127.49632209999999
HOSPITAL,충북,청주시 상당구,효성병원,충청북도 청주시 상당구 쇠내로 16,043-221-5000,A,36.6244467,127.49552849999999
HOSPITAL,충북,청주시 청원구,청주성모병원,충청북도 청주시 청원구 주성구 173-19,043-219-8000,A,36.642434099999996,127.4890319
HOSPITAL,충북,청주시 흥덕구,하나병원,충청북도 청주시 흥덕구 2순환로 1262(가경동),043-230-6114,A,36.6281257,127.43571469999999
HOSPITAL,충북,청주시 흥덕구,베스티안병원,충청북도 청주시 흥덕구 오송읍 오송생명1로 191,043-910-7575,A,36.6350133,127.3233232
HOSPITAL,충북,충주시,건국대학교 충주병원,충청북도 충주시 국원대로 82,043-840-8200,A,36.9789554,127.92888459999999
HOSPITAL,충남,논산시,백제병원,충청남도 논산시 시민로294번길14,041-730-8888,A,36.1923478,127.09438949999999
HOSPITAL,충남,당진시,당진종합병원,충청남도 당진시 반촌로 5-15,041-357-0100,A,36.9044154,126.6847755
HOSPITAL,충남,서산시,서산중앙병원,충청남도 서산시 수석산업로5,041-661-1000,A,36.7811126,126.50352609999999
HOSPITAL,충남,아산시,아산충무병원,충청남도 아산시 문화로 381(모종동),041-536-6666,B,36.779140399999996,127.01955679999999
HOSPITAL,충남,아산시,현대병원,충청남도 아산시 시민로 388,041-546-3636,A,36.7830692,127.00102389999999
HOSPITAL,충남,예산군,예산종합병원,충청남도 예산군 예산읍 금오대로 94,041-330-4000,A,36.6910697,126.83770439999999
HOSPITAL,충남,천안시 동남구,단국대학교병원,충청남도 천안시 동남구 망향로 201,041-1588-0063,B,36.8418782,127.1749976
HOSPITAL,충남,천안시 동남구,순천향대학교 부속 천안병원,충청남도 천안시 동남구 순천향6길 31,041-570-2114,B,36.802779799999996,127.13533469999999
HOSPITAL,충남,천안시 동남구,천안우리병원,충청남도 천안시 동남구 남부대로 350,041-590-9000,A,36.7809592,127.1557958
HOSPITAL,충남,천안시 서북구,천안충무병원,충청남도 천안시 서북구 다가말3길8,041-570-7555,B,36.797347099999996,127.1315479
HOSPITAL,충남,천안시 서북구,연세나무병원,충청남도 천안시 서북구 불당21로,041-537-0000,A,36.8121529,127.1040618
HOSPITAL,충남,천안시 서북구,서울대정병원,충청남도 천안시 서북구 불당33길 18,041-415-0001,A,36.8083197,127.106278
HOSPITAL,전북,고창군,고창종합병원,전라북도 고창군 고창읍 화신1길9,063-560-5600,A,35.4364207,126.69366300000002
HOSPITAL,전북,군산시,군산의료원,전라북도 군산시 의료원로 27,063-472-5000,A,35.9548898,126.71191669999999
HOSPITAL,전북,군산시,동군산병원,전라북도 군산시 조촌로 149,063-440-0300,B,35.9773651,126.7370947
HOSPITAL,전북,남원시,남원의료원,전라북도 남원시 충정로 365,063-620-1114,A,35.4326296,127.4083857
HOSPITAL,전북,익산시,익산병원,전라북도 익산시 무왕로 969,063-840-9114,B,35.9592947,126.96716079999999
HOSPITAL,전북,전주시 덕진구,전북대학교병원,전라북도 전주시 덕진구 건지로 20,063-250-1114,B,35.8471872,127.14058940000001
HOSPITAL,전북,전주시 덕진구,대자인병원,전라북도 전주시 덕진구 견훤로390,063-240-2000,A,35.84597730000001,127.1533607
HOSPITAL,전북,전주시 덕진구,호성전주병원,전라북도 전주시 덕진구 동부대로 895,063-240-8800,A,35.848752,127.1464411
HOSPITAL,전북,전주시 완산구,예수병원,전라북도 전주시 완산구 서원로365,063-230-8114,B,35.814135199999996,127.13289879999999
HOSPITAL,전북,전주시 완산구,전주병원,전라북도 전주시 완산구 한두평3길13,063-220-7200,A,35.81532,127.12475260000001
HOSPITAL,전남,고흥군,고흥종합병원,전라남도 고흥군 고흥읍 고흥로 1935,061-835-6000,B,34.621004299999996,127.29393970000001
HOSPITAL,전남,고흥군,녹동현대병원,전라남도 고흥군 도양읍 차경구렁목길 215,061-840-1200,B,34.5465248,127.14574689999998
HOSPITAL,전남,목포시,목포시의료원,전라남도 목포시 이로로 18,061-260-6500,A,34.804123499999996,126.40535209999999
HOSPITAL,전남,목포시,목포한국병원,전라남도 목포시 영산로 483,061-270-5500,B,34.8091621,126.41639439999999
HOSPITAL,전남,목포시,목포기독병원,전라남도 목포시 백년대로303,061-280-7500,B,34.804445,126.4206723
HOSPITAL,전남,목포시,목포중앙병원,전라남도 목포시 영산로 623번지,061-280-3000,B,34.821230199999995,126.4210798
HOSPITAL,전남,순천시,성가롤로병원,전라남도 순천시 순광로 221,061-720-6434,B,34.9642662,127.5428763
HOSPITAL,전남,순천시,순천한국병원,전라남도 순천시 우명길42,061-740-5000,B,34.9476145,127.51250979999999
HOSPITAL,전남,여수시,여천전남병원,전라남도 여수시 무선로 95,061-690-6000,A,34.7690003,127.6542545
HOSPITAL,전남,여수시,여수전남병원,전라남도 여수시 좌수영로49,061-640-7575,A,34.772441199999996,127.70306099999999
HOSPITAL,전남,여수시,여수제일병원,전라남도 여수시 쌍봉로 70,061-689-8114,A,34.7660227,127.6636158
HOSPITAL,전남,여수시,여수한국병원,전라남도 여수시 여천체육공원길10,061-653-2000,A,34.7612543,127.67505249999999
HOSPITAL,전남,장흥군,장흥종합병원,전라남도 장흥군 장흥읍 흥성로74,061-862-8300,A,34.6770898,126.9111921
HOSPITAL,경북,경산시,경산중앙병원,경상북도 경산시 경안로 11,053-715-0100,A,35.809092799999995,128.74016459999999
HOSPITAL,경북,경산시,세명병원,경상북도 경산시 경안로 208,053-819-8364,A,35.8260728,128.7372057
HOSPITAL,경북,경주시,동국대학교 경주병원,경상북도 경주시 동대로87,054-748-9300,A,35.8583073,129.1954409
HOSPITAL,경북,구미시,차의과학대학교부속구미차병원,경상북도 구미시 신시로10길 12,054-450-9700,A,36.1147524,128.3407379
HOSPITAL,경북,구미시,순천향대학교부속구미병원,경상북도 구미시 1공단로 179,054-468-9114,B,36.1030929,128.3826739
HOSPITAL,경북,구미시,바른유병원,경상북도 구미시 역전로 28,054-457-8676,A,36.1310797,128.3325658
HOSPITAL,경북,김천시,김천제일병원,경상북도 김천시 신음1길 12,054-420-9300,A,36.1353472,128.1187424
HOSPITAL,경북,문경시,문경제일병원,경상북도 문경시 당교3길 25,054-550-7700,A,36.5843256,128.18918349999998
HOSPITAL,경북,상주시,상주성모병원,경상북도 상주시 냉림서성길7,054-532-5001,A,36.420795999999996,128.15997529999999
HOSPITAL,경북,안동시,안동성소병원,경상북도 안동시 서동문로99,054-850-8114,A,36.5673945,128.7228393
HOSPITAL,경북,안동시,안동병원,경상북도 안동시 앙실로11,054-840-1004,A,36.5471395,128.7008616
HOSPITAL,경북,포항시 남구,포항성모병원,경상북도 포항시 남구 대잠동길 17,054-272-0151,A,36.014831199999996,129.33929089999998
HOSPITAL,경북,포항시 남구,포항세명기독병원,경상북도 포항시 남구 남구 포스코대로351,054-275-0005,B,36.0177961,129.3620249
HOSPITAL,경북,포항시 북구,좋은선린병원,경상북도 포항시 북구 대신로 43,054-245-5000,A,36.048065199999996,129.367134
HOSPITAL,경북,포항시 북구,포항우리병원,경상북도 포항시 북구 포스코대로 256,054-240-6000,A,36.0215301,129.35237089999998
HOSPITAL,경남,거제시,거붕백병원,경상남도 거제시 계룡로 5길 14,055-733-0000,A,34.8726323,128.6268045
HOSPITAL,경남,거제시,대우병원,경상남도 거제시 도모길16,055-680-8114,B,34.8722413,128.7217033
HOSPITAL,경남,거제시,맑은샘병원,경상남도 거제시 연초면 거제대로 4477,055-736-1004,A,34.8977915,128.64378159999998
HOSPITAL,경남,거창군,거창적십자병원,경상남도 거창군 거창읍 중앙로 91,055-944-3251,A,35.6865089,127.9091208
HOSPITAL,경남,김해시,조은금강병원,경상남도 김해시 김해대로 1814-37,055-330-0300,A,35.2623034,128.8615992
HOSPITAL,경남,김해시,경희의료원 교육협력 중앙병원,경상남도 김해시 분성로94-8,055-330-6000,A,35.23073170000001,128.85708839999998
HOSPITAL,경남,김해시,갑을장유병원,경상남도 김해시 장유로 167-13,055-310-6000,A,35.2086594,128.80560499999999
HOSPITAL,경남,김해시,진영병원,경상남도 김해시 진영읍김해대로 334번길 9,055-340-3700,A,35.306056999999996,128.72674899999998
HOSPITAL,경남,밀양시,밀양윤병원,경상남도 밀양시 삼문중앙로32,055-354-2200,A,35.484694999999995,128.7556697
HOSPITAL,경남,사천시,삼천포서울병원,경상남도 사천시 남일로 33,055-835-9900,A,34.9333862,128.0802625
HOSPITAL,경남,양산시,베데스다병원,경상남도 양산시 신기로 28,055-384-9901,A,35.353235,129.04364239999998
HOSPITAL,경남,양산시,양산부산대학교병원,경상남도 양산시 양산시 물금읍 금오로 20,055-1577-7512,B,35.326130299999996,129.0048926
HOSPITAL,경남,진주시,진주고려병원,경상남도 진주시 동진로2,055-751-2500,A,35.1786102,128.0920617
HOSPITAL,경남,진주시,경상대학교병원,경상남도 진주시 강남로 79,055-750-8000,B,35.1770869,128.0954964
HOSPITAL,경남,진주시,진주제일병원,경상남도 진주시 진주대로 885,055-750-7123,A,35.1793942,128.08997209999998
HOSPITAL,경남,진주시,한일병원,경상남도 진주시 범골로 17,055-759-7777,A,35.166265599999996,128.1286498
HOSPITAL,경남,진주시,반도병원,경상남도 진주시 남강로 701,055-747-6000,A,35.178400599999996,128.0974023
HOSPITAL,경남,진주시,진주세란병원,경상남도 진주시 진주대로 829,055-760-7578,A,35.174462,128.0929902
HOSPITAL,경남,진주시,진주복음병원,경상남도 진주시 진양호로 370,055-743-2580,A,35.1852364,128.06956549999998
HOSPITAL,경남,진주시,진주바른병원,경상남도 진주시 동진로7,055-790-3000,A,35.179228,128.0917275
HOSPITAL,경남,창원시 마산합포구,창원제일종합병원,경상남도 창원시 마산합포구 3.15대로 238,055-223-9000,A,35.1990707,128.5677163
HOSPITAL,경남,창원시 마산합포구,에스엠지연세병원,경상남도 창원시 마산합포구 3.15대로 76,055-243-0100,B,35.1863221,128.5616616
HOSPITAL,경남,창원시 마산회원구,청아병원,경상남도 창원시 마산회원구 내서읍 광려천서로 67,055-230-1500,A,35.2479443,128.5096097
HOSPITAL,경남,창원시 마산회원구,365병원,경상남도 창원시 마산회원구 3.15대로 686,055-248-0365,A,35.2337554,128.57949150000002
HOSPITAL,경남,창원시 마산회원구,마산서울병원,경상남도 창원시 마산회원구 3.15대로 653,055-299-7000,A,35.2206349,128.5795296
HOSPITAL,경남,창원시 성산구,CNA서울아동병원,경상남도 창원시 성산구 마디미서로 54,055-262-8511,A,35.2208447,128.6809275
HOSPITAL,경남,창원시 진해구,연세에스병원,경상남도 창원시 진해구 해원로32번길 13,055-548-7700,A,35.1545448,128.6983452
HOSPITAL,경남,함양군,함양성심병원,경상남도 함양군 함양읍 고운로 70,055-963-4322,A,35.52028800000001,127.72936460000001
HOSPITAL,제주,제주시,제주한라병원,제주특별자치도 제주시 도령로 65,064-740-5000,B,33.489819499999996,126.4851928
HOSPITAL,제주,제주시,제주대학교병원,제주특별자치도 제주시 아란13길 15,064-717-1114,B,33.467042899999996,126.54575580000001
HOSPITAL,제주,제주시,한마음병원,제주특별자치도 제주시 연신로 52,064-750-9000,A,33.4963523,126.54623760000001
HOSPITAL,제주,제주시,중앙병원,제주특별자치도 제주시 월랑로 91,064-786-7000,A,33.4922645,126.4707256
